id_tiempo,ano,semana
2016-W23,2016,23
2016-W24,2016,24
2016-W25,2016,25
2016-W26,2016,26
2016-W27,2016,27
2016-W28,2016,28
2016-W29,2016,29
2016-W30,2016,30
2016-W31,2016,31
2016-W32,2016,32
2016-W33,2016,33
2016-W34,2016,34
2016-W35,2016,35
2016-W36,2016,36
2016-W37,2016,37
2016-W38,2016,38
2016-W39,2016,39
2016-W40,2016,40
2016-W41,2016,41
2016-W42,2016,42
2016-W43,2016,43
2016-W44,2016,44
2016-W45,2016,45
2016-W46,2016,46
2016-W47,2016,47
2016-W48,2016,48
2016-W49,2016,49
2016-W50,2016,50
2016-W51,2016,51
2016-W52,2016,52
2017-W01,2017,1
2017-W02,2017,2
2017-W03,2017,3
2017-W04,2017,4
2017-W05,2017,5
2017-W06,2017,6
2017-W07,2017,7
2017-W08,2017,8
2017-W09,2017,9
2017-W10,2017,10
2017-W11,2017,11
2017-W12,2017,12
2017-W13,2017,13
2017-W14,2017,14
2017-W15,2017,15
2017-W16,2017,16
2017-W17,2017,17
2017-W18,2017,18
2017-W19,2017,19
2017-W20,2017,20
2017-W21,2017,21
2017-W22,2017,22
2017-W23,2017,23
2017-W24,2017,24
2017-W25,2017,25
2017-W26,2017,26
2017-W27,2017,27
2017-W28,2017,28
2017-W29,2017,29
2017-W30,2017,30
2017-W31,2017,31
2017-W32,2017,32
2017-W33,2017,33
2017-W34,2017,34
2017-W35,2017,35
2017-W36,2017,36
2017-W37,2017,37
2017-W38,2017,38
2017-W39,2017,39
2017-W40,2017,40
2017-W41,2017,41
2017-W42,2017,42
2017-W43,2017,43
2017-W44,2017,44
2017-W45,2017,45
2017-W46,2017,46
2017-W47,2017,47
2017-W48,2017,48
2017-W49,2017,49
2017-W50,2017,50
2017-W51,2017,51
2017-W52,2017,52
2018-W01,2018,1
2018-W02,2018,2
2018-W03,2018,3
2018-W04,2018,4
2018-W05,2018,5
2018-W06,2018,6
2018-W07,2018,7
2018-W08,2018,8
2018-W09,2018,9
2018-W10,2018,10
2018-W11,2018,11
2018-W12,2018,12
2018-W13,2018,13
2018-W14,2018,14
2018-W15,2018,15
2018-W16,2018,16
2018-W17,2018,17
2018-W18,2018,18
2018-W19,2018,19
2018-W20,2018,20
2018-W21,2018,21
2018-W22,2018,22
2018-W23,2018,23
2018-W24,2018,24
2018-W25,2018,25
2018-W26,2018,26
2018-W27,2018,27
2018-W28,2018,28
2018-W29,2018,29
2018-W30,2018,30
2018-W31,2018,31
2018-W32,2018,32
2018-W33,2018,33
2018-W34,2018,34
2018-W35,2018,35
2018-W36,2018,36
2018-W37,2018,37
2018-W38,2018,38
2018-W39,2018,39
2018-W40,2018,40
2018-W41,2018,41
2018-W42,2018,42
2018-W43,2018,43
2018-W44,2018,44
2018-W45,2018,45
2018-W46,2018,46
2018-W47,2018,47
2018-W48,2018,48
2018-W49,2018,49
2018-W50,2018,50
2018-W51,2018,51
2018-W52,2018,52
2019-W01,2019,1
2019-W02,2019,2
2019-W03,2019,3
2019-W04,2019,4
2019-W05,2019,5
2019-W06,2019,6
2019-W07,2019,7
2019-W08,2019,8
2019-W09,2019,9
2019-W10,2019,10
2019-W11,2019,11
2019-W12,2019,12
2019-W13,2019,13
2019-W14,2019,14
2019-W15,2019,15
2019-W16,2019,16
2019-W17,2019,17
2019-W18,2019,18
2019-W19,2019,19
2019-W20,2019,20
2019-W21,2019,21
2019-W22,2019,22
2019-W23,2019,23
2019-W24,2019,24
2019-W25,2019,25
2019-W26,2019,26
2019-W27,2019,27
2019-W28,2019,28
2019-W29,2019,29
2019-W30,2019,30
2019-W31,2019,31
2019-W32,2019,32
2019-W33,2019,33
2019-W34,2019,34
2019-W35,2019,35
2019-W36,2019,36
2019-W37,2019,37
2019-W38,2019,38
2019-W39,2019,39
2019-W40,2019,40
2019-W41,2019,41
2019-W42,2019,42
2019-W43,2019,43
2019-W44,2019,44
2019-W45,2019,45
2019-W46,2019,46
2019-W47,2019,47
2019-W48,2019,48
2019-W49,2019,49
2019-W50,2019,50
2019-W51,2019,51
2019-W52,2019,52
2020-W01,2020,1
2020-W02,2020,2
2020-W03,2020,3
2020-W04,2020,4
2020-W05,2020,5
2020-W06,2020,6
2020-W07,2020,7
2020-W08,2020,8
2020-W09,2020,9
2020-W10,2020,10
2020-W11,2020,11
2020-W12,2020,12
2020-W13,2020,13
2020-W14,2020,14
2020-W15,2020,15
2020-W16,2020,16
2020-W17,2020,17
2020-W18,2020,18
2020-W19,2020,19
2020-W20,2020,20
2020-W21,2020,21
2020-W22,2020,22
2020-W23,2020,23
2020-W24,2020,24
2020-W25,2020,25
2020-W26,2020,26
2020-W27,2020,27
2020-W28,2020,28
2020-W29,2020,29
2020-W30,2020,30
2020-W31,2020,31
2020-W32,2020,32
2020-W33,2020,33
2020-W34,2020,34
2020-W35,2020,35
2020-W36,2020,36
2020-W37,2020,37
2020-W38,2020,38
2020-W39,2020,39
2020-W40,2020,40
2020-W41,2020,41
2020-W42,2020,42
2020-W43,2020,43
2020-W44,2020,44
2020-W45,2020,45
2020-W46,2020,46
2020-W47,2020,47
2020-W48,2020,48
2020-W49,2020,49
2020-W50,2020,50
2020-W51,2020,51
2020-W52,2020,52
2020-W53,2020,53
2021-W01,2021,1
2021-W02,2021,2
2021-W03,2021,3
2021-W04,2021,4
2021-W05,2021,5
2021-W06,2021,6
2021-W07,2021,7
2021-W08,2021,8
2021-W09,2021,9
2021-W10,2021,10
2021-W11,2021,11
2021-W12,2021,12
2021-W13,2021,13
2021-W14,2021,14
2021-W15,2021,15
2021-W16,2021,16
2021-W17,2021,17
2021-W18,2021,18
2021-W19,2021,19
2021-W20,2021,20
2021-W21,2021,21
2021-W22,2021,22
2021-W23,2021,23
2021-W24,2021,24
2021-W25,2021,25
2021-W26,2021,26
2021-W27,2021,27
2021-W28,2021,28
2021-W29,2021,29
2021-W30,2021,30
2021-W31,2021,31
2021-W32,2021,32
2021-W33,2021,33
2021-W34,2021,34
2021-W35,2021,35
2021-W36,2021,36
2021-W37,2021,37
2021-W38,2021,38
2021-W39,2021,39
2021-W40,2021,40
2021-W41,2021,41
2021-W42,2021,42
2021-W43,2021,43
2021-W44,2021,44
2021-W45,2021,45
2021-W46,2021,46
2021-W47,2021,47
2021-W48,2021,48
2021-W49,2021,49
2021-W50,2021,50
2021-W51,2021,51
2021-W52,2021,52
2022-W01,2022,1
2022-W02,2022,2
2022-W03,2022,3
2022-W04,2022,4
2022-W05,2022,5
2022-W06,2022,6
2022-W07,2022,7
2022-W08,2022,8
2022-W09,2022,9
2022-W10,2022,10
2022-W11,2022,11
2022-W12,2022,12
2022-W13,2022,13
2022-W14,2022,14
2022-W15,2022,15
2022-W16,2022,16
2022-W17,2022,17
2022-W18,2022,18
2022-W19,2022,19
2022-W20,2022,20
2022-W21,2022,21
2022-W22,2022,22
2022-W23,2022,23
2022-W24,2022,24
2022-W25,2022,25
2022-W26,2022,26
2022-W27,2022,27
2022-W28,2022,28
2022-W29,2022,29
2022-W30,2022,30
2022-W31,2022,31
2022-W32,2022,32
2022-W33,2022,33
2022-W34,2022,34
2022-W35,2022,35
2022-W36,2022,36
2022-W37,2022,37
2022-W38,2022,38
2022-W39,2022,39
2022-W40,2022,40
2022-W41,2022,41
2022-W42,2022,42
2022-W43,2022,43
2022-W44,2022,44
2022-W45,2022,45
2022-W46,2022,46
2022-W47,2022,47
2022-W48,2022,48
2022-W49,2022,49
2022-W50,2022,50
2022-W51,2022,51
2022-W52,2022,52
2023-W01,2023,1
2023-W02,2023,2
2023-W03,2023,3
2023-W04,2023,4
2023-W05,2023,5
2023-W06,2023,6
2023-W07,2023,7
2023-W08,2023,8
2023-W09,2023,9
2023-W10,2023,10
2023-W11,2023,11
2023-W12,2023,12
2023-W13,2023,13
2023-W14,2023,14
2023-W15,2023,15
2023-W16,2023,16
2023-W17,2023,17
2023-W18,2023,18
2023-W19,2023,19
2023-W20,2023,20
2023-W21,2023,21
2023-W22,2023,22
2023-W23,2023,23
2023-W24,2023,24
2023-W25,2023,25
2023-W26,2023,26
2023-W27,2023,27
2023-W28,2023,28
2023-W29,2023,29
2023-W30,2023,30
2023-W31,2023,31
2023-W32,2023,32
2023-W33,2023,33
2023-W34,2023,34
2023-W35,2023,35
2023-W36,2023,36
2023-W37,2023,37
2023-W38,2023,38
2023-W39,2023,39
2023-W40,2023,40
2023-W41,2023,41
2023-W42,2023,42
2023-W43,2023,43
2023-W44,2023,44
2023-W45,2023,45
2023-W46,2023,46
2023-W47,2023,47
2023-W48,2023,48
2023-W49,2023,49
2023-W50,2023,50
2023-W51,2023,51
2023-W52,2023,52
2024-W01,2024,1
2024-W02,2024,2
2024-W03,2024,3
